event_link,fight_conclusion_link,fighter_1_details_link,fighter_1_name,fighter_2_details_link,fighter_2_name,fighter_1_knowdowns,fighter_2_knowdowns,fighter_1_strikes,fighter_2_strikes,fighter_1_takedows,fighter_2_takedows,fighter_1_submissions,fighter_2_submissions,weight_class,methods
http://ufcstats.com/event-details/8ad022dd81224f61,,http://ufcstats.com/fighter-details/23024fdfc966410a,Gilbert Burns,http://ufcstats.com/fighter-details/c32aeb1a59e6272d,Michael Morales,,,,,ViewMatchup,,,,Welterweight,"['', '']"
http://ufcstats.com/event-details/8ad022dd81224f61,,http://ufcstats.com/fighter-details/69898645d600abdb,Rodolfo Bellato,http://ufcstats.com/fighter-details/eabf206b162b3b83,Paul Craig,,,,,ViewMatchup,,,,Light Heavyweight,"['', '']"
http://ufcstats.com/event-details/8ad022dd81224f61,,http://ufcstats.com/fighter-details/94426bb170c88115,Sodiq Yusuff,http://ufcstats.com/fighter-details/480779d7f9a424d3,Mairon Santos,,,,,ViewMatchup,,,,Lightweight,"['', '']"
http://ufcstats.com/event-details/8ad022dd81224f61,,http://ufcstats.com/fighter-details/71505842fb6455c3,Dustin Stoltzfus,http://ufcstats.com/fighter-details/49d2a08964c5eb11,Nursulton Ruziboev,,,,,ViewMatchup,,,,Middleweight,"['', '']"
http://ufcstats.com/event-details/8ad022dd81224f61,,http://ufcstats.com/fighter-details/902ec2cc48c8ae8a,Julian Erosa,http://ufcstats.com/fighter-details/20bccc9bb4ceb23e,Melquizael Costa,,,,,ViewMatchup,,,,Featherweight,"['', '']"
http://ufcstats.com/event-details/8ad022dd81224f61,,http://ufcstats.com/fighter-details/5eb50529a8418b77,Gabe Green,http://ufcstats.com/fighter-details/72f890c5d421e705,Matheus Camilo,,,,,ViewMatchup,,,,Lightweight,"['', '']"
http://ufcstats.com/event-details/8ad022dd81224f61,,http://ufcstats.com/fighter-details/7026eca45f65377b,Jared Gordon,http://ufcstats.com/fighter-details/d945aae53e3e54e6,Thiago Moises,,,,,ViewMatchup,,,,Lightweight,"['', '']"
http://ufcstats.com/event-details/8ad022dd81224f61,,http://ufcstats.com/fighter-details/70380ccdc81915b8,Yadier del Valle,http://ufcstats.com/fighter-details/36e78278a77006d4,Connor Matthews,,,,,ViewMatchup,,,,Featherweight,"['', '']"
http://ufcstats.com/event-details/8ad022dd81224f61,,http://ufcstats.com/fighter-details/5078e1dacf9d25f4,Luana Santos,http://ufcstats.com/fighter-details/2c5f5749569eef66,Tainara Lisboa,,,,,ViewMatchup,,,,Women's Bantamweight,"['', '']"
http://ufcstats.com/event-details/8ad022dd81224f61,,http://ufcstats.com/fighter-details/ac7c765882f2c68c,Elise Reed,http://ufcstats.com/fighter-details/cffb87059e645bd1,Denise Gomes,,,,,ViewMatchup,,,,Women's Strawweight,"['', '']"
